STATE,LATITUDE,LONGITUDE,TEMP
ALASKA,59.44,-153.13,92.2
ALASKA,51.58,-176.37,63.0
ALASKA,51.58,-176.37,71.0
ALASKA,54.09,-165.55,84.0
ALASKA,54.09,-165.55,58.8
ALASKA,54.09,-165.5,83.0
ALASKA,55.44,-162.07,142.8
ALASKA,59.44,-153.14,100.0
ALASKA,60.33,-152.07,82.2
ALASKA,55.58,-131.39,85.0
ALASKA,57.05,-134.5,51.0
ALASKA,57.05,-134.5,51.7
ALASKA,55.55,-131.34,72.0
ALASKA,60.03,-142.12,66.7
ALASKA,56.13,-131.16,57.0
ALASKA,65.03,-146.03,51.1
ALASKA,65.03,-146.03,65.0
ALASKA,65.03,-146.03,57.0
ALASKA,56.43,-132.0,50.5
ALASKA,56.43,-132.0,52.0
ALASKA,56.43,-132.0,50.4
ALASKA,65.28,-144.38,57.0
ALASKA,64.51,-162.18,67.0
ALASKA,64.51,-162.18,67.0
ALASKA,55.13,-162.24,53.6
ALASKA,66.22,-156.46,55.0
ALASKA,65.16,-155.16,55.0
ALASKA,55.13,-162.28,54.0
ALASKA,54.56,-162.54,50.6
ALASKA,54.55,-163.14,62.2
ALASKA,61.38,-150.05,76.7
ALASKA,57.51,-156.29,52.8
ALASKA,53.13,-168.28,100.0
ALASKA,53.12,-168.27,101.0
ALASKA,57.25,-157.44,92.2
ALASKA,52.02,-176.06,100.0
ALASKA,52.02,-176.06,100.0
ALASKA,52.02,-176.06,95.0
ALASKA,56.58,-158.41,138.9
ALASKA,56.12,-160.1,131.1
ALASKA,60.43,-150.54,62.2
ALASKA,53.14,-168.21,89.0
ALASKA,53.15,-168.21,68.0
ALASKA,53.14,-168.21,87.0
ALASKA,57.37,-155.51,210.0
ALASKA,53.15,-168.21,92.5
ALASKA,66.2,-150.51,66.0
ALASKA,65.48,-151.14,66.0
ALASKA,65.59,-150.35,66.0
ALASKA,65.0,-150.37,52.0
ALASKA,65.0,-150.37,56.0
ALASKA,65.0,-150.37,59.0
ALASKA,65.07,-154.41,56.0
ALASKA,57.1,-157.01,66.0
ALASKA,53.24,-168.1,96.5
ALASKA,53.24,-168.1,98.0
ALASKA,53.24,-168.1,97.0
ALASKA,60.46,-152.05,60.0
ALASKA,55.51,-161.34,151.1
ALASKA,65.05,-164.55,55.0
ALASKA,65.05,-164.55,69.0
ALASKA,55.51,-160.29,73.9
ALASKA,55.51,-160.29,71.0
ALASKA,55.31,-161.05,71.1
ALASKA,57.21,-156.23,139.4
ALASKA,65.51,-164.41,60.0
ALASKA,65.51,-164.42,60.0
ALASKA,65.51,-164.42,71.0
ALASKA,56.43,-132.02,52.0
ALASKA,60.44,-152.0,75.0
ALASKA,60.59,-151.37,64.4
ALASKA,56.5,-135.22,65.0
ALASKA,60.46,-150.51,102.8
ALASKA,58.0,-135.55,81.5
