plant_type,energy_source,prime_mover,year_built,lat,lon,total_power,n_units,power_encoded
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1963,33.458665,-87.35682,53.9,1,4.005513348515485
Natural Gas Steam Turbine,Natural Gas,steam,1954,31.0069,-88.0103,306.2,2,5.727499001273517
Conventional Steam Coal,Bituminous Coal,steam,1969,31.0069,-88.0103,403.7,1,6.00314605188182
Conventional Steam Coal,Bituminous Coal,steam,1971,31.0069,-88.0103,788.8,1,6.671779748852549
Natural Gas Fired Combined Cycle,Natural Gas,Combined Cycle Combustion Turbine Part,2000,31.0069,-88.0103,680.4,4,6.524149505226866
Natural Gas Fired Combined Cycle,Natural Gas,Combined Cycle Steam Part,2000,31.0069,-88.0103,390.4,2,5.969730054961976
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1967,32.583889,-86.28305999999998,225.0,3,5.420534999272286
Natural Gas Steam Turbine,Natural Gas,steam,1949,34.0128,-85.9708,138.0,2,4.9344739331306915
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,1980,31.7569,-106.375,86.9,1,4.476199804691132
Natural Gas Steam Turbine,Natural Gas,steam,1965,32.6017,-87.7811,299.2,1,5.704448919199361
Natural Gas Steam Turbine,Natural Gas,steam,1966,32.6017,-87.7811,269.2,1,5.5991624255260986
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,1996,32.6017,-87.7811,320.0,4,5.771441123130016
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,1995,32.6017,-87.7811,400.0,5,5.993961427306569
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1966,33.7845,-86.0524,72.9,3,4.302712827954156
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1968,33.2553,-87.4495,46.9,1,3.8691155044168695
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1929,32.6189,-86.2548,100.0,4,4.61512051684126
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1964,33.425878000000004,-86.33755,128.10000000000002,3,4.860587297852597
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1968,32.9633,-86.5187,59.0,2,4.0943445622221
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1967,32.9633,-86.5187,118.0,4,4.77912349311153
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1927,32.680394,-85.91144,150.60000000000005,3,5.021245473208271
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1952,32.680394,-85.91144,60.0,1,4.110873864173311
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1949,32.806025,-86.44489,20.0,1,3.044522437723423
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1985,32.806025,-86.44489,150.0,3,5.017279836814924
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1961,33.9406,-87.1077,90.5,1,4.516338972281476
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1962,33.9406,-87.1077,90.5,1,4.516338972281476
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1931,32.535436,-85.88761,91.0,3,4.5217885770490405
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1962,34.172142,-85.75381,29.2,1,3.407841924380824
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1961,34.172142,-85.75381,58.4,2,4.084294226368599
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1928,32.5743,-85.8901,50.5,2,3.9415818076696905
Natural Gas Steam Turbine,Natural Gas,steam,1960,33.244211,-86.45806,544.0,2,6.300785794663244
Natural Gas Steam Turbine,Natural Gas,steam,1961,33.244211,-86.45806,272.0,1,5.60947179518496
Conventional Steam Coal,Bituminous Coal,steam,1974,33.244211,-86.45806,952.0,1,6.859614903654202
Petroleum Liquids,Distillate Fuel Oil,Combustion,1970,33.244211,-86.45806,21.2,1,3.100092288878234
Natural Gas Steam Turbine,Natural Gas,steam,1962,33.244211,-86.45806,244.8,1,5.504518197131935
Natural Gas Internal Combustion Engine,Natural Gas,Internal Combustion Engine,2001,44.0501,-94.4178,3.1,1,1.410986973710262
Natural Gas Internal Combustion Engine,Natural Gas,Internal Combustion Engine,1965,44.0501,-94.4178,2.0,1,1.0986122886681096
Natural Gas Internal Combustion Engine,Natural Gas,Internal Combustion Engine,1959,44.0501,-94.4178,1.1,1,0.7419373447293773
Natural Gas Internal Combustion Engine,Natural Gas,Internal Combustion Engine,1973,44.0501,-94.4178,4.3,1,1.667706820558076
Natural Gas Internal Combustion Engine,Natural Gas,Internal Combustion Engine,1954,44.0501,-94.4178,1.3,1,0.832909122935104
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1980,39.134259,-120.9533,12.1,1,2.5726122302071057
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1970,32.100881,-87.39976999999998,101.1,3,4.625952725170619
Nuclear,Nuclear,steam,1974,34.7042,-87.1189,1152.0,1,7.050122520269059
Nuclear,Nuclear,steam,1975,34.7042,-87.1189,1152.0,1,7.050122520269059
Nuclear,Nuclear,steam,1977,34.7042,-87.1189,1190.0,1,7.0825485693553
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,1972,34.7439,-87.8486,476.0,8,6.1675164908883415
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1939,34.421271999999995,-86.39393000000003,86.4,3,4.470495282661489
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1952,34.421271999999995,-86.39393000000003,28.8,1,3.3945083935113587
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1936,34.8069,-87.3819,35.1,1,3.586292865338835
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1963,34.8069,-87.3819,79.6,2,4.389498649512583
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1937,34.8069,-87.3819,35.1,1,3.586292865338835
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1941,34.8069,-87.3819,70.2,2,4.26549281841793
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1948,34.8069,-87.3819,35.1,1,3.586292865338835
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1949,34.8069,-87.3819,70.2,2,4.26549281841793
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1950,34.8069,-87.3819,35.1,1,3.586292865338835
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1962,34.8069,-87.3819,43.6,1,3.7977338590260183
Conventional Steam Coal,Lignite Coal,steam,1986,32.030556,-93.56917,720.7,1,6.581609540078228
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1926,31.4033,-86.47946999999998,1.2,1,0.7884573603642702
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1985,31.4033,-86.47946999999998,1.8,1,1.0296194171811583
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,1999,37.8833,-84.1017,447.0,3,6.104793232414985
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,2010,37.8833,-84.1017,196.0,2,5.2832037287379885
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,2001,37.8833,-84.1017,216.0,2,5.37989735354046
Natural Gas Fired Combustion Turbine,Natural Gas,Combustion,2005,37.8833,-84.1017,196.0,2,5.2832037287379885
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1925,31.361146,-86.51831,3.2,2,1.4350845252893227
Conventional Hydroelectric,Pumping Energy for Reversible,Hydroelectric Turbine,1949,31.361146,-86.51831,2.0,1,1.0986122886681096
Conventional Steam Coal,Bituminous Coal,steam,1969,31.488019,-87.91075,66.0,1,4.204692619390966
Conventional Steam Coal,Bituminous Coal,steam,1978,31.488019,-87.91075,236.0,1,5.4680601411351315
Conventional Steam Coal,Bituminous Coal,steam,1980,31.488019,-87.91075,236.0,1,5.4680601411351315
Conventional Steam Coal,Subbituminous Coal,steam,1982,40.854765,-98.34822,109.8,1,4.707726774313183
Conventional Steam Coal,Refined Coal,steam,1981,40.580872,-98.31244,76.3,1,4.3476939555933765
Conventional Steam Coal,Subbituminous Coal,steam,2011,40.580872,-98.31244,248.0,1,5.517452896464707
